player_id,draft_round,draft_position,draft_year,position_cleaned,year,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
22010,,,,RB,1988,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,2,0,0,2
5621,,,,WR,1992,0,0,0,0,0,0,0,0,0,0,0,4,3,39,0,0,0,0,0,0,0,6.9,0,6.9
5168,2,30,1967,QB,1967,9,19,71,17.75,0,2,0,0,5,32,0,0,0,0,0,0,0,0,0,-1.16,3.2,0,0,2.04
5168,2,30,1967,QB,1968,33,86,441,45.66666667,0,6,0,0,15,91,1,0,0,0,0,0,0,0,0,5.64,15.1,0,0,20.74
5168,2,30,1967,QB,1969,25,42,223,66.05,2,4,0,0,3,2,0,0,0,0,0,0,0,0,0,12.92,0.2,0,0,13.12
5168,2,30,1967,QB,1970,6,17,66,47.7,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,2.64,1.1,0,0,3.74
5168,2,30,1967,QB,1971,49,121,624,42.75384615,10,8,0,0,18,154,1,0,0,0,0,0,0,0,0,68.96,21.4,0,0,90.36
5168,2,30,1967,QB,1972,10,22,114,33.45714286,2,1,0,0,6,32,0,0,0,0,0,0,0,0,0,14.56,3.2,0,0,17.76
5168,2,30,1967,QB,1973,5,17,14,2.6,0,2,0,0,3,10,0,0,0,0,0,0,0,0,0,-3.44,1,0,0,-2.44
4392,13,127,1945,QB,1950,59,144,1048,59.775,8,9,0,0,14,19,1,0,0,0,0,0,0,0,0,71.92,7.9,0,0,79.82
4392,13,127,1945,QB,1951,93,189,1277,52.30833333,10,22,0,0,4,-18,1,0,0,0,0,0,0,0,0,67.08,4.2,0,0,71.28
4392,13,127,1945,QB,1952,82,169,1090,69.67272727,13,10,0,0,18,60,0,0,0,0,0,0,0,0,0,101.6,6,0,0,107.6
4392,13,127,1945,QB,1953,143,303,1711,51.25833333,13,25,0,0,24,91,0,0,0,0,0,0,0,0,0,96.44,9.1,0,0,105.54
4392,13,127,1945,QB,1954,103,210,1439,80.91,17,11,0,0,24,107,1,0,0,0,0,0,0,0,0,137.56,16.7,0,0,154.26
4392,13,127,1945,QB,1955,98,202,1310,71.88333333,13,13,0,0,12,8,0,0,0,0,0,0,0,0,0,104.4,0.8,0,0,105.2
4392,13,127,1945,QB,1956,97,184,1338,81.05,12,7,0,0,12,9,0,0,0,0,0,0,0,0,0,111.52,0.9,0,0,112.42
4392,13,127,1945,QB,1957,128,232,1712,77.20833333,11,11,0,0,16,24,1,0,0,0,0,0,0,0,0,112.48,8.4,0,0,120.88
4392,13,127,1945,QB,1958,105,209,1461,76.26666667,11,9,0,0,14,-2,1,0,0,0,0,0,0,0,0,106.44,5.8,0,0,112.24
4392,13,127,1945,QB,1959,130,231,1932,93.94545455,15,6,0,0,15,38,1,0,0,0,0,0,0,0,0,155.28,9.8,0,0,165.08
4392,13,127,1945,QB,1960,66,134,954,62.78888889,8,7,0,0,14,1,0,0,0,0,0,0,0,0,0,72.16,0.1,0,0,72.26
4392,13,127,1945,QB,1961,48,114,688,56.42,7,8,0,0,13,16,0,0,0,0,0,0,0,0,0,53.52,1.6,0,0,55.12
11257,7,224,2001,TE,2001,0,0,0,0,0,0,0,0,0,0,0,69,44,398,3,0,0,0,0,0,0,101.8,0,101.8
11257,7,224,2001,TE,2002,0,0,0,0,0,0,0,0,0,0,0,81,46,406,0,0,0,0,0,0,0,86.6,0,86.6
11257,7,224,2001,TE,2004,0,0,0,0,0,0,0,0,0,0,0,117,82,825,2,0,0,0,0,0,0,176.5,0,176.5
11257,7,224,2001,TE,2006,0,0,0,0,0,0,0,0,0,0,0,49,34,292,2,0,0,0,0,0,0,75.2,0,75.2
11257,7,224,2001,TE,2007,0,0,0,0,0,0,0,0,0,0,0,63,48,378,2,0,0,0,0,0,0,97.8,0,97.8
18099,2,64,2009,TE,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
