,player_id,weight,current_team,college,draft_team,draft_round,draft_position,draft_year,position_cleaned,year,game_location,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points,height_inches
28604,21258,255.0,None,California,Tennessee Titans,3.0,85.0,2008.0,TE,2015,H,11390.75,0,0,0,0.0,0,0,0,0,0,0,0,9,7,69,2,0,0,0,0,0.0,0.0,25.9,0,25.9,75.0
28605,22484,235.0,Indianapolis Colts,Penn St.,None,0.0,0.0,0.0,TE,2016,A,8677.083333333334,0,0,0,0.0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0.0,0.0,1.5,0,1.5,79.0
28606,22484,235.0,Indianapolis Colts,Penn St.,None,0.0,0.0,0.0,TE,2016,H,8674.75,0,0,0,0.0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0.0,0.0,3.0,0,3.0,79.0
28607,22484,235.0,Indianapolis Colts,Penn St.,None,0.0,0.0,0.0,TE,2017,A,9044.0,0,0,0,0.0,0,0,0,0,0,0,0,9,5,43,0,0,0,0,0,0.0,0.0,9.3,0,9.3,79.0
28608,22484,235.0,Indianapolis Colts,Penn St.,None,0.0,0.0,0.0,TE,2017,H,9048.2,0,0,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,79.0
29316,8316,250.0,Miami Dolphins,Minnesota,None,0.0,0.0,0.0,TE,2015,A,9455.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,76.0
29317,8316,250.0,Miami Dolphins,Minnesota,None,0.0,0.0,0.0,TE,2015,H,9450.583333333334,0,0,0,0.0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.0,0.0,1.2,0,1.2,76.0
29318,8316,250.0,Miami Dolphins,Minnesota,None,0.0,0.0,0.0,TE,2016,A,9867.444444444445,0,0,0,0.0,0,0,0,0,0,0,0,8,7,71,0,11,0,0,0,0.0,0.0,14.1,0,14.1,76.0
29319,8316,250.0,Miami Dolphins,Minnesota,None,0.0,0.0,0.0,TE,2016,H,9862.09375,0,0,0,0.0,0,0,0,0,0,0,0,9,7,103,0,0,0,0,0,0.0,0.0,17.3,0,17.3,76.0
29320,8316,250.0,Miami Dolphins,Minnesota,None,0.0,0.0,0.0,TE,2017,A,10209.333333333334,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,76.0
