,player_id,year,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
22712,19451,1999,9760.4375,0,1,0,2.475,0,0,0,0,0,0,0,153,79,954,1,0,0,0,0,0.0,0.0,180.4,0,180.4
22713,19451,2000,10119.375,0,0,0,0.0,0,0,0,0,0,0,0,116,54,749,6,0,0,0,0,0.0,0.0,164.9,0,164.9
22714,19451,2001,10496.266666666666,0,1,0,2.64,0,0,0,0,0,0,0,76,41,618,2,0,0,0,0,0.0,0.0,114.80000000000001,0,114.80000000000001
22715,19451,2002,10837.833333333334,0,0,0,0.0,0,0,0,0,3,2,0,58,34,400,2,0,0,0,0,0.0,0.19999999999999996,86.0,0,86.2
22716,19451,2003,11220.92857142857,0,0,0,0.0,0,0,0,0,0,0,0,29,14,170,0,0,0,0,0,0.0,0.0,31.000000000000004,0,31.000000000000004
22717,19462,1986,9554.083333333334,0,0,0,0.0,0,0,0,0,0,0,0,0,16,301,2,0,0,0,0,0.0,0.0,58.099999999999994,0,58.099999999999994
22718,19462,1987,9919.85,0,0,0,0.0,0,0,0,0,3,20,0,11,52,915,5,219,0,0,0,0.0,2.0,173.5,0,175.5
22719,19462,1988,10253.75,0,0,0,0.0,0,0,0,0,2,14,0,0,73,1148,12,362,0,0,0,0.0,1.4,259.8,0,261.2
22720,19462,1989,10624.765625,1,1,32,7.41875,0,0,0,0,4,19,0,0,80,1138,4,134,0,12,0,1.28,1.9,217.8,0,220.98000000000005
22721,19462,1990,11001.069444444445,0,0,0,0.0,0,0,0,0,5,20,0,0,62,827,3,22,0,0,0,0.0,2.0,162.7,0,164.7
22722,19462,1991,11362.644736842105,0,0,0,0.0,0,0,0,0,8,48,1,3,49,659,5,0,0,0,0,0.0,10.799999999999999,144.89999999999998,0,155.70000000000002
22723,19462,1992,11726.779411764706,0,0,0,0.0,0,0,0,0,4,-6,0,102,55,745,3,0,0,0,0,0.0,-0.6000000000000001,147.50000000000003,0,146.90000000000003
22724,19462,1993,12090.765625,0,0,0,0.0,0,0,0,0,1,7,0,103,58,638,4,0,0,0,0,0.0,0.7,145.8,0,146.5
22725,19462,1994,12455.892857142857,0,0,0,0.0,0,0,0,0,0,0,0,103,67,599,1,0,0,0,0,0.0,0.0,132.9,0,132.9
22726,19462,1995,12847.75,0,0,0,0.0,0,0,0,0,0,0,0,5,2,24,0,0,0,0,0,0.0,0.0,4.4,0,4.4
22727,19463,1950,11958.0,2,3,58,107.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0.0,0.0,0,2.32
22728,19464,2008,9409.85,0,0,0,0.0,0,0,0,0,0,0,0,5,1,18,0,0,0,0,0,0.0,0.0,2.8,0,2.8
22729,19465,1985,8710.347222222223,0,0,0,0.0,0,0,0,0,29,119,1,0,1,9,0,10,0,0,0,0.0,17.9,1.9,0,19.8
22730,19465,1986,9068.529411764706,0,0,0,0.0,0,0,0,0,27,224,5,0,2,18,0,399,0,0,0,0.0,52.4,3.8,0,56.199999999999996
22731,19465,1987,9449.73076923077,0,0,0,0.0,0,0,0,0,25,126,1,0,4,55,0,349,0,0,0,0.0,18.599999999999998,9.5,0,28.099999999999998
22732,19465,1988,9800.847222222223,0,0,0,0.0,0,0,0,0,110,448,3,0,11,114,0,279,0,0,0,0.0,62.800000000000004,22.400000000000002,0,85.20000000000002
22733,19465,1989,10163.375,0,0,0,0.0,0,0,0,0,41,127,0,0,3,28,1,491,1,0,0,0.0,12.700000000000003,11.799999999999999,6,30.500000000000004
22734,19465,1990,10558.931818181818,0,0,0,0.0,0,0,0,0,58,220,1,0,7,67,0,351,0,0,0,0.0,28.0,13.7,0,41.7
22735,19465,1991,10856.05,0,0,0,0.0,0,0,0,0,54,122,1,0,8,62,0,160,0,0,0,0.0,18.2,14.2,0,32.400000000000006
22736,19467,1973,8439.25,0,0,0,0.0,0,0,0,0,3,8,0,0,5,23,0,44,0,0,0,0.0,0.8,7.300000000000001,0,8.1
22737,19486,2014,8083.34375,0,0,0,0.0,0,0,0,0,152,569,2,23,18,133,0,198,0,0,0,0.0,68.9,31.299999999999994,0,100.19999999999999
22738,19486,2015,8453.653846153846,0,0,0,0.0,0,0,0,0,47,193,1,22,14,139,1,192,0,0,0,0.0,25.300000000000004,33.9,0,59.199999999999996
22739,19489,2008,8354.833333333334,0,0,0,0.0,0,0,0,0,0,0,0,13,10,64,1,0,0,0,0,0.0,0.0,22.4,0,22.4
22740,19489,2009,8780.0,0,0,0,0.0,0,0,0,0,0,0,0,11,8,107,0,0,0,0,0,0.0,0.0,18.7,0,18.7
22741,19490,1997,8619.568181818182,0,0,0,0.0,0,0,0,0,0,0,0,32,17,217,2,0,0,0,0,0.0,0.0,50.7,0,50.7
22742,19490,1998,9022.684210526315,0,0,0,0.0,0,0,0,0,0,0,0,50,31,495,5,0,0,0,0,0.0,0.0,110.50000000000001,0,110.50000000000001
22743,19490,1999,9374.464285714286,0,0,0,0.0,0,0,0,0,0,0,0,30,15,174,0,0,0,0,0,0.0,0.0,32.4,0,32.4
22744,19490,2000,9718.40909090909,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0.0
22745,19490,2001,10120.25,0,0,0,0.0,0,0,0,0,0,0,0,27,17,153,2,1,0,0,0,0.0,0.0,44.300000000000004,0,44.300000000000004
22746,19490,2003,10841.25,0,0,0,0.0,0,0,0,0,0,0,0,7,5,69,0,9,0,0,0,0.0,0.0,11.899999999999999,0,11.899999999999999
22747,19495,2012,8460.083333333334,1,1,73,17.58888888888889,1,0,0,0,5,15,0,25,16,154,4,0,0,0,0,8.92,1.5,55.4,0,65.82
22748,19495,2013,8841.35294117647,1,1,25,6.982352941176471,0,0,0,0,4,16,0,79,48,468,2,0,0,0,0,1.0,1.6,106.79999999999998,0,109.39999999999999
22749,19495,2014,9208.89705882353,3,3,79,22.91176470588235,1,0,1,6,7,51,0,105,59,821,5,0,0,0,0,8.159999999999998,5.1,171.10000000000002,0,184.36
22750,19495,2015,9578.911764705883,0,0,0,0.0,0,0,0,0,10,71,2,54,36,411,0,2,0,0,0,0.0,19.1,77.1,0,96.20000000000002
22751,19495,2016,9948.027777777777,0,0,0,0.0,0,0,0,0,2,12,0,95,70,774,6,9,0,0,0,0.0,1.2,183.4,0,184.60000000000002
22752,19495,2017,10286.0,1,1,51,15.830000000000002,1,0,0,0,2,7,0,61,45,452,4,0,0,0,0,8.04,0.7,114.2,0,122.94
22753,19497,2011,8425.234375,0,0,0,0.0,0,0,0,0,1,-4,0,54,27,276,3,0,0,0,0,0.0,-0.4,72.60000000000001,0,72.2
22754,19497,2012,8787.3,0,0,0,0.0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0.0,0.0,1.7,0,1.7
22755,19497,2013,9144.875,0,0,0,0.0,0,0,0,0,0,0,0,8,6,61,0,0,0,0,0,0.0,0.0,12.1,0,12.1
22756,19497,2014,9508.075,0,0,0,0.0,0,0,0,0,1,-1,0,15,9,105,0,0,0,0,0,0.0,-0.1,19.5,0,19.4
22757,19504,2003,9136.25,0,0,0,0.0,0,0,0,0,12,31,0,0,0,0,0,0,0,0,0,0.0,3.1,0.0,0,3.1
22758,19504,2004,9483.375,0,0,0,0.0,0,0,0,0,4,32,0,0,0,0,0,120,0,0,0,0.0,3.2,0.0,0,3.2
22759,19504,2005,9822.388888888889,0,0,0,0.0,0,0,0,0,5,21,0,2,2,17,0,39,0,0,0,0.0,2.1,3.7,0,5.800000000000001
22760,19504,2006,10170.295454545454,0,0,0,0.0,0,0,0,0,10,80,0,10,8,34,0,95,0,0,0,0.0,8.0,11.399999999999999,0,19.4
22761,19504,2007,10544.34375,0,0,0,0.0,0,0,0,0,18,59,2,20,14,51,1,30,0,0,0,0.0,17.900000000000002,25.099999999999998,0,42.99999999999999
22762,19504,2008,10920.6875,0,0,0,0.0,0,0,0,0,2,-3,0,0,0,0,0,7,0,0,0,0.0,-0.3,0.0,0,-0.3
22763,19508,1959,8902.2,0,0,0,0.0,0,0,0,0,41,145,1,0,6,47,0,0,0,0,0,0.0,20.499999999999996,10.7,0,31.199999999999996
22764,19508,1960,9314.0,0,0,0,0.0,0,0,0,0,9,20,0,0,2,20,0,0,0,0,0,0.0,2.0,4.0,0,6.0
22765,19508,1961,9608.0,0,0,0,0.0,0,0,0,0,7,24,1,0,3,10,0,0,0,0,0,0.0,8.4,4.0,0,12.4
22766,19508,1962,9997.625,0,0,0,0.0,0,0,0,0,23,53,2,0,6,80,0,0,0,0,0,0.0,17.3,14.0,0,31.3
22767,19508,1963,10368.777777777777,0,0,0,0.0,0,0,0,0,104,452,1,0,4,36,0,58,0,0,0,0.0,51.2,7.6,0,58.800000000000004
22768,19508,1964,10725.45,0,0,0,0.0,0,0,0,0,4,15,0,0,1,44,0,43,0,0,0,0.0,1.5,5.4,0,6.9
22769,19508,1965,11103.666666666666,0,0,0,0.0,0,0,0,0,14,54,0,0,1,10,0,77,0,0,0,0.0,5.4,2.0,0,7.4
22770,19514,1986,8809.53125,0,0,0,0.0,0,0,0,0,0,0,0,0,1,8,0,27,0,0,0,0.0,0.0,1.8,0,1.8
22771,19514,1987,9183.3,0,0,0,0.0,0,0,0,0,18,90,0,0,2,19,0,37,0,0,0,0.0,9.0,3.9,0,12.899999999999999
22772,19514,1989,9909.464285714286,0,0,0,0.0,0,0,0,0,20,87,1,0,6,50,0,0,0,0,0,0.0,14.700000000000001,11.0,0,25.7
22773,19520,1987,8982.0,0,0,0,0.0,0,0,0,0,19,52,1,0,6,19,0,117,0,0,0,0.0,11.2,7.9,0,19.1
22774,19529,1996,9750.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
22775,19530,1976,8550.333333333334,0,0,0,0.0,0,0,0,0,0,0,0,0,7,110,0,0,0,0,0,0.0,0.0,18.0,0,18.0
